County,Organisation,Project Title,Amount Sought,Organisation Type ,Sport Type,Grant Category
Carlow,Ardattin Athletic Club,Ardattin Athletic Club Equipment Grant,"?10,000",Sports Club,Athletics,Local
Carlow,Bagenalstown AFC,Installation of astro-turf pitch & floodlights,"?154,675",Sports Club,Soccer,Local
Carlow,Bagenalstown Cricket Club,Storage Increase,"?1,856",Sports Club,Cricket,Local
Carlow,Bagenalstown Pitch & Putt Club,Bagenalstown Pitch & Putt Club,"?36,000",Sports Club,Pitch and Putt,Local
Carlow,Bagenalstown Swimming Club,Upgrade of pool and club facilities,"?141,795",Sports Club,Swimming,Local
Carlow,Ballinabranna GAA Club,Increase Female Active Participation,"?146,289",Sports Club,Gaelic Games,Local
Carlow,Ballinkillen Hurling Club,"Improvements, maintain facility & extend playtime","?191,159",Sports Club,Gaelic Games,Local
Carlow,Ballon GAA Club,Club Development Works - new indoor facility,"?200,000",Sports Club,Gaelic Games,Local
Carlow,Ballymurphy Celtic AFC,BALLYMURPHY CELTIC AFC,"?56,145",Sports Club,Soccer,Local
Carlow,Borris Golf Club,Purchase 2nd hand John Deere fairway mower,"?40,000",Sports Club,Golf,Local
Carlow,Bunclody Swimming Pool Committee,Bunclody Swimming Pool,"?25,110",Community Group,Swimming,Local
Carlow,Burrin Celtic F.C.,Alter Changing Rooms / CCTV and Security System,"?38,468",Sports Club,Soccer,Local
Carlow,Carlow Basketball Club,CARLOW BASKETBALL CLUB,"?45,000",Sports Club,Basketball,Local
Carlow,Carlow Cricket Club,Carlow Cricket Club Pitch Maintenance,"?6,700",Sports Club,Cricket,Local
Carlow,Carlow Dragon Boat Club,Carlow Dragon Boat club,"?19,360",Sports Club,Rowing,Local
Carlow,Carlow Golf Club,Upgrades to practice facilities and locker rooms.,"?200,000",Sports Club,Golf,Local
Carlow,Carlow Hunt pony Club,"Training equipment, Trailers, Defibrillator","?54,179",Sports Club,Equestrian Sports,Local
Carlow,Carlow Ladies Gaelic Football Assocation,"Equipment, Jerseys Goalpost & mower","?30,398",Sports Club,Gaelic Games,Local
Carlow,Carlow Lawn Tennis Club,Clubhouse Energy and Presentation Upgrade,"?193,709",Sports Club,Tennis,Local
Carlow,Carlow Muaythai Gym,Gym Equipment - Kickboxing bags,"?2,850",Sports Club,Martial Arts,Local
Carlow,Carlow Road Cycling Club,Grow participation of our Youth & Junior Cycling,"?8,314",Sports Club,Cycling,Local
Carlow,Carlow Rowing Club,Women in Rowing Grow adult sport,"?26,779",Sports Club,Rowing,Local
Carlow,Carlow triathlon club,Club Equipment,"?8,610",Sports Club,Triathlon,Local
Carlow,CLG Muine Bheag Bagenalstown Gaels GAA,"Refurbishment , pitch repair, mower","?195,000",Sports Club,Gaelic Games,Local
Carlow,Clonmore GFC,"Upgrade shower area, installation of solar energy","?37,500",Sports Club,Gaelic Games,Local
Carlow,Coisde Condae Ceatharloch,Carlow Rising GAA Centre of Excellence,"?500,000",Sports Stadium,Gaelic Games,Non-Local
Carlow,County Carlow Football Club,"Floodlight upgrade, fencing, disability access.","?191,480",Sports Club,Rugby,Local
Carlow,Dolmen Archery Club,Elevating Archery Excellence and Inclusivity,"?7,431",Sports Club,Archery,Local
Carlow,�ire �g CLG [CARLOW],"Floodlighting upgrade, Solar panels, Pitch Fencing","?185,175",Sports Club,Gaelic Games,Local
Carlow,Fenagh Sports Grounds Co Ltd by Guarantee,LED Flood Lighting for GAA Playing Pitch,"?162,251",Sports Club,Gaelic Games,Local
Carlow,Fighting Cocks GFC,New LED Lights for our one and only playing pitch,"?168,206",Sports Club,Gaelic Games,Local
Carlow,Grange Gaelic Football club,Grange GFC Facility Improvement Grant,"?152,958",Sports Club,Gaelic Games,Local
Carlow,Kildare & Leighlin Diocesan Trust,Queen of the Universe NS -lAstro turf playing surface with fencing & lights,"?156,572",Diocesan Trust,Multi-sport,Local
Carlow,Kildavin Clonegal GAA Club,Energy Efficiency Upgrades & Walkway,"?198,026",Sports Club,Gaelic Games,Local
Carlow,Mount Leinster Rangers GAA Club,PHASE1(C) DEVL OF 2ND NEW (DESIGNATED FEMALE)PITCH,"?103,942",Sports Club,Gaelic Games,Local
Carlow,Muinebheag Kayak & Sup Club,Funding for sports Equipment and setup of club,"?27,358",Sports Club,Canoeing / Kayaking,Local
Carlow,Naomh Eoin GAA Club,"Walking Track/Pitch Upgrade, Goalposts/Lawnmower","?164,000",Sports Club,Gaelic Games,Local
Carlow,New Oak Boys Football Club,Build grass pitch and improve energy efficiency,"?200,000",Sports Club,Soccer,Local
Carlow,OLD LEIGHLIN GFC,"Floodlights, Dressing rooms, and Ball Stop Nets.","?168,257",Sports Club,Gaelic Games,Local
Carlow,Palatine GAA Club,Palatine GAA Club Bennekerry Carlow - Phase 2,"?75,000",Sports Club,Gaelic Games,Local
Carlow,Parkville United AFC Tullow Juvenille AFC,Parkville United AFC Tullow Juveniles AFC,"?196,536",Sports Club,Soccer,Local
Carlow,Rathvilly GAA Club,Building of Indoor Sports Hall,"?188,650",Sports Club,Gaelic Games,Local
Carlow,Rathvilly Tennis Club,Rathvilly Tennis Club Equip Funding Application,"?6,000",Community Group,Tennis,Local
Carlow,Saint Patrick's Boys AFC,Floodlights and Fencing,"?131,203",Sports Club,Soccer,Local
Carlow,Slaney Rovers AFC,Clubhouse,"?200,000",Community Group,Soccer,Local
Carlow,St Fiaccs F. C,St Fiaccs FC Groundworks,"?200,000",Sports Club,Soccer,Local
Carlow,St Laurence O'Toole Athletic Club,St. Laurence O'Toole AC Equipment Grant 2023,"?170,000",Sports Club,Athletics,Local
Carlow,St Leo's College,St Leos College Hockey Pitch Phase 2,"?489,985",School (primary or second level),Hockey,Non-Local
Carlow,St Mullins GAA Club,Development of additional natural playing pitch.,"?156,142",Sports Club,Gaelic Games,Local
Carlow,St.Brigids National School,Artificial Playing Surface with boundary fencing,"?91,363",School (primary or second level),Multi-sport,Local
Carlow,Tullow & South Leinster Tennis & Sports Club,Phase 4 of MasterPlan Development,"?500,000",Sports Centre,Tennis,Non-Local
Carlow,Tullow Active Retirement Association,Tullow ARA Bowls Equipment,"?5,500",Community Group,Bowls,Local
Carlow,Tullow RFC,Tullow RFC Replace existing old generator,"?18,573",Sports Club,Rugby,Local
Cavan,3rd Cavan Virginia Scouting Group,Extra Equipment and Storage,"?7,000",Scout Group,Multi-sport,Local
Cavan,Arva G.A.A. Club,Phase 3 - Facility Opening & Further Development,"?200,000",Sports Club,Gaelic Games,Local
